1000	0
1849	-0.127839439
1850	-0.256112526
1851	-0.384819262
1852	-0.513959647
1853	-0.643533681
1854	-0.645701925
1855	-0.647870168
1856	-0.650038412
1857	-0.652206655
1858	-0.654374899
1859	-0.615976266
1860	-0.577444202
1861	-0.538778708
1862	-0.499979783
1863	-0.461047428
1864	-0.46254852
1865	-0.464049612
1866	-0.465550704
1867	-0.467051795
1868	-0.468552887
1869	-0.642463206
1870	-0.816940603
1871	-0.99198508
1872	-1.167596636
1873	-1.343775271
1874	-1.348111758
1875	-1.352448245
1876	-1.356784732
1877	-1.361121219
1878	-1.365457707
1879	-1.177101528
1880	-0.988111556
1881	-0.798487789
1882	-0.608230228
1883	-0.417338873
1884	-0.418506388
1885	-0.419673904
1886	-0.42084142
1887	-0.422008936
1888	-0.423176452
1889	-0.485194283
1890	-0.547412259
1891	-0.609830382
1892	-0.67244865
1893	-0.735267063
1894	-0.737435306
1895	-0.73960355
1896	-0.741771794
1897	-0.743940037
1898	-0.746108281
1899	-0.712780507
1900	-0.679335982
1901	-0.645774705
1902	-0.612096676
1903	-0.578301896
1904	-0.579886382
1905	-0.581470868
1906	-0.583055353
1907	-0.584639839
1908	-0.586224325
1909	-0.33426583
1910	-0.081473395
1911	0.17215298
1912	0.426613295
1913	0.681907549
1914	0.684492762
1915	0.687077976
1916	0.689663189
1917	0.692248403
1918	0.694833616
1919	0.656851953
1920	0.618736859
1921	0.580488335
1922	0.54210638
1923	0.503590995
1924	0.505509057
1925	0.507427119
1926	0.50934518
1927	0.511263242
1928	0.513181304
1929	0.565807961
1930	0.618601407
1931	0.671561641
1932	0.724688662
1933	0.777982472
1934	0.780734474
1935	0.783486475
1936	0.786238476
1937	0.788990478
1938	0.791742479
1939	0.485172044
1940	0.177584203
1941	-0.131021046
1942	-0.4406437
1943	-0.751283762
1944	-0.753618793
1945	-0.755953825
1946	-0.758288857
1947	-0.760623888
1948	-0.76295892
1949	-0.734868793
1950	-0.706678595
1951	-0.678388323
1952	-0.649997978
1953	-0.621507561
1954	-0.623342229
1955	-0.625176896
1956	-0.627011564
1957	-0.628846232
1958	-0.630680899
1959	-0.221775938
1960	0.188480006
1961	0.600086932
1962	1.013044841
1963	1.427353732
1964	1.432273977
1965	1.437194222
1966	1.442114467
1967	1.447034712
1968	1.451954957
1969	1.654638727
1970	1.85797297
1971	2.061957686
1972	2.266592876
1973	2.471878538
1974	2.480051148
1975	2.488223759
1976	2.496396369
1977	2.504568979
1978	2.51274159
1979	2.703465146
1980	2.89478914
1981	3.086713569
1982	3.279238436
1983	3.472363739
1984	3.483538533
1985	3.494713327
1986	3.505888121
1987	3.517062914
1988	3.528237708
1989	2.7737127
1990	2.016669194
1991	1.257107189
1992	0.495026686
1993	-0.269572315
1994	-0.270990013
1995	-0.272407711
1996	-0.273825408
1997	-0.275243106
1998	-0.276660804
1999	-0.181732169
2000	-0.086486637
2001	0.009075792
2002	0.104955119
2003	0.201151342
2004	1.398041
2005	2.598866853
2006	3.803628902
2007	5.012327147
2008	6.224961588
2009	5.864494885
2010	5.502777272
2011	5.13980875
2012	4.775589317
2013	4.410118975
2014	4.423712195
2015	4.437305414
2016	4.450898633
2017	4.464491853
2018	4.478085072
2019	3.989663189
2020	3.499590106
2021	3.007865822
2022	2.514490336
2023	2.01946365
2024	2.024800865
2025	2.03013808
2026	2.035475295
2027	2.04081251
2028	2.046149725
2029	2.005849203
2030	1.965398573
2031	1.924797833
2032	1.884046984
2033	1.843146025
2034	1.847732694
2035	1.852319364
2036	1.856906033
2037	1.861492702
2038	1.866079371
2039	1.459926411
2040	1.052422469
2041	0.643567544
2042	0.233361637
2043	-0.178195253
2044	-0.180363497
2045	-0.18253174
2046	-0.184699984
2047	-0.186868227
2048	-0.189036471
2049	-0.307834486
2050	-0.427016113
2051	-0.546581352
2052	-0.666530204
2053	-0.786862668
2054	-0.790948973
2055	-0.795035278
2056	-0.799121583
2057	-0.803207889
2058	-0.807294194
2059	-0.740388464
2060	-0.673249232
2061	-0.605876496
2062	-0.538270257
2063	-0.470430515
2064	-0.473349305
2065	-0.476268094
2066	-0.479186883
2067	-0.482105673
2068	-0.485024462
2069	-0.401738638
2070	-0.318169275
2071	-0.234316372
2072	-0.150179929
2073	-0.065759947
2074	-0.067261038
2075	-0.06876213
2076	-0.070263222
2077	-0.071764313
2078	-0.073265405
2079	0.006367257
2080	0.08626678
2081	0.166433164
2082	0.246866408
2083	0.327566513
2084	0.327399725
2085	0.327232937
2086	0.327066149
2087	0.326899361
2088	0.326732573
2089	0.316424066
2090	0.306082201
2091	0.295706979
2092	0.285298399
2093	0.274856461
2094	0.274522885
2095	0.274189309
2096	0.273855733
2097	0.273522158
2098	0.273188582
2099	0.293138444
2100	0.313155022
2101	0.333238315
2102	0.353388323
2103	0.373605046
2104	0.373605046
2105	0.373605046
2106	0.373605046
2107	0.373605046
2108	0.373605046
2109	0.373605046
2110	0.373605046
2111	0.373605046
2112	0.373605046
2113	0.373605046
2114	0.373605046
2115	0.373605046
2116	0.373605046
2117	0.373605046
2118	0.373605046
2119	0.373605046
2120	0.373605046
2121	0.373605046
2122	0.373605046
2123	0.373605046
2124	0.373605046
2125	0.373605046
2126	0.373605046
2127	0.373605046
2128	0.373605046
2129	0.373605046
2130	0.373605046
2131	0.373605046
2132	0.373605046
2133	0.373605046
2134	0.373605046
2135	0.373605046
2136	0.373605046
2137	0.373605046
2138	0.373605046
2139	0.373605046
2140	0.373605046
2141	0.373605046
2142	0.373605046
2143	0.373605046
2144	0.373605046
2145	0.373605046
2146	0.373605046
2147	0.373605046
2148	0.373605046
2149	0.373605046
2150	0.373605046
2151	0.373605046
2152	0.373605046
2153	0.373605046
2154	0.373605046
2155	0.373605046
2156	0.373605046
2157	0.373605046
2158	0.373605046
2159	0.373605046
2160	0.373605046
2161	0.373605046
2162	0.373605046
2163	0.373605046
2164	0.373605046
2165	0.373605046
2166	0.373605046
2167	0.373605046
2168	0.373605046
2169	0.373605046
2170	0.373605046
2171	0.373605046
2172	0.373605046
2173	0.373605046
2174	0.373605046
2175	0.373605046
2176	0.373605046
2177	0.373605046
2178	0.373605046
2179	0.373605046
2180	0.373605046
2181	0.373605046
2182	0.373605046
2183	0.373605046
2184	0.373605046
2185	0.373605046
2186	0.373605046
2187	0.373605046
2188	0.373605046
2189	0.373605046
2190	0.373605046
2191	0.373605046
2192	0.373605046
2193	0.373605046
2194	0.373605046
2195	0.373605046
2196	0.373605046
2197	0.373605046
2198	0.373605046
2199	0.373605046
2200	0.373605046
2201	0.373605046
2202	0.373605046
2203	0.373605046
2204	0.373605046
2205	0.373605046
2206	0.373605046
2207	0.373605046
2208	0.373605046
2209	0.373605046
2210	0.373605046
9999	0.373605046
