1000	0.000
1848	0.000
1849	-0.128
1850	-0.256
1851	-0.385
1852	-0.514
1853	-0.644
1854	-0.646
1855	-0.648
1856	-0.650
1857	-0.652
1858	-0.654
1859	-0.616
1860	-0.577
1861	-0.539
1862	-0.500
1863	-0.461
1864	-0.463
1865	-0.464
1866	-0.466
1867	-0.467
1868	-0.469
1869	-0.642
1870	-0.817
1871	-0.992
1872	-1.168
1873	-1.344
1874	-1.348
1875	-1.352
1876	-1.357
1877	-1.361
1878	-1.365
1879	-1.177
1880	-0.988
1881	-0.798
1882	-0.608
1883	-0.417
1884	-0.419
1885	-0.420
1886	-0.421
1887	-0.422
1888	-0.423
1889	-0.485
1890	-0.547
1891	-0.610
1892	-0.672
1893	-0.735
1894	-0.737
1895	-0.740
1896	-0.742
1897	-0.744
1898	-0.746
1899	-0.713
1900	-0.679
1901	-0.646
1902	-0.612
1903	-0.578
1904	-0.580
1905	-0.581
1906	-0.583
1907	-0.585
1908	-0.586
1909	-0.334
1910	-0.081
1911	0.172
1912	0.427
1913	0.682
1914	0.684
1915	0.687
1916	0.690
1917	0.692
1918	0.695
1919	0.657
1920	0.619
1921	0.580
1922	0.542
1923	0.504
1924	0.506
1925	0.507
1926	0.509
1927	0.511
1928	0.513
1929	0.566
1930	0.619
1931	0.672
1932	0.725
1933	0.778
1934	0.781
1935	0.783
1936	0.786
1937	0.789
1938	0.792
1939	0.485
1940	0.178
1941	-0.131
1942	-0.441
1943	-0.751
1944	-0.754
1945	-0.756
1946	-0.758
1947	-0.761
1948	-0.763
1949	-0.735
1950	-0.707
1951	-0.678
1952	-0.650
1953	-0.622
1954	-0.623
1955	-0.625
1956	-0.627
1957	-0.629
1958	-0.631
1959	-0.222
1960	0.188
1961	0.600
1962	1.013
1963	1.427
1964	1.432
1965	1.437
1966	1.442
1967	1.447
1968	1.452
1969	1.655
1970	1.858
1971	2.062
1972	2.267
1973	2.472
1974	2.480
1975	2.488
1976	2.496
1977	2.505
1978	2.513
1979	2.703
1980	2.895
1981	3.087
1982	3.279
1983	3.472
1984	3.484
1985	3.495
1986	3.506
1987	3.517
1988	3.528
1989	2.774
1990	2.017
1991	1.257
1992	0.495
1993	-0.270
1994	-0.271
1995	-0.272
1996	-0.274
1997	-0.275
1998	-0.277
1999	0.153
2000	0.584
2001	1.016
2002	1.450
2003	1.886
2004	2.307
2005	2.730
2006	3.154
2007	3.580
2008	4.007
2009	3.973
2010	3.940
2011	3.907
2012	3.873
2013	3.839
2014	3.851
2015	3.863
2016	3.875
2017	3.887
2018	3.898
2019	3.383
2020	2.865
2021	2.346
2022	1.825
2023	1.303
2024	1.306
2025	1.309
2026	1.312
2027	1.315
2028	1.318
2029	1.230
2030	1.142
2031	1.053
2032	0.964
2033	0.874
2034	0.876
2035	0.878
2036	0.879
2037	0.881
2038	0.882
2039	0.605
2040	0.327
2041	0.048
2042	-0.232
2043	-0.513
2044	-0.516
2045	-0.519
2046	-0.522
2047	-0.525
2048	-0.528
2049	-0.719
2050	-0.910
2051	-1.102
2052	-1.295
2053	-1.488
2054	-1.494
2055	-1.500
2056	-1.506
2057	-1.512
2058	-1.518
2059	-1.245
2060	-0.972
2061	-0.697
2062	-0.421
2063	-0.145
2064	-0.146
2065	-0.148
2066	-0.149
2067	-0.151
2068	-0.152
2069	0.039
2070	0.231
2071	0.423
2072	0.616
2073	0.810
2074	0.811
2075	0.813
2076	0.815
2077	0.816
2078	0.818
2079	0.794
2080	0.771
2081	0.747
2082	0.723
2083	0.699
2084	0.700
2085	0.701
2086	0.703
2087	0.704
2088	0.705
2089	0.696
2090	0.687
2091	0.678
2092	0.669
2093	0.660
2094	0.661
2095	0.663
2096	0.664
2097	0.665
2098	0.666
2099	0.601
2100	0.536
2101	0.471
2102	0.405
2103	0.339
2104	0.339
2105	0.339
2106	0.339
2107	0.339
2108	0.339
2109	0.339
2110	0.339
2111	0.339
2112	0.339
2113	0.339
2114	0.339
2115	0.339
2116	0.339
2117	0.339
2118	0.339
2119	0.339
2120	0.339
2121	0.339
2122	0.339
2123	0.339
2124	0.339
2125	0.339
2126	0.339
2127	0.339
2128	0.339
2129	0.339
2130	0.339
2131	0.339
2132	0.339
2133	0.339
2134	0.339
2135	0.339
2136	0.339
2137	0.339
2138	0.339
2139	0.339
2140	0.339
2141	0.339
2142	0.339
2143	0.339
2144	0.339
2145	0.339
2146	0.339
2147	0.339
2148	0.339
2149	0.339
2150	0.339
2151	0.339
2152	0.339
2153	0.339
2154	0.339
2155	0.339
2156	0.339
2157	0.339
2158	0.339
2159	0.339
2160	0.339
2161	0.339
2162	0.339
2163	0.339
2164	0.339
2165	0.339
2166	0.339
2167	0.339
2168	0.339
2169	0.339
2170	0.339
2171	0.339
2172	0.339
2173	0.339
2174	0.339
2175	0.339
2176	0.339
2177	0.339
2178	0.339
2179	0.339
2180	0.339
2181	0.339
2182	0.339
2183	0.339
2184	0.339
2185	0.339
2186	0.339
2187	0.339
2188	0.339
2189	0.339
2190	0.339
2191	0.339
2192	0.339
2193	0.339
2194	0.339
2195	0.339
2196	0.339
2197	0.339
2198	0.339
2199	0.339
2200	0.339
2201	0.339
2202	0.339
2203	0.339
2204	0.339
2205	0.339
2206	0.339
2207	0.339
2208	0.339
2209	0.339
2210	0.339
9999	0.339
